	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_55	0.0079200623	-0.014729241	0.0176641134	0.0048789603	-0.0042390864	0.0184358098	-0.0052841436	0.0010146499	0.0003691076	-0.0027625149
130515_C2_stim_CD19-_56	0.0079200623	0.0076188958	0.0028757769	-0.0005752026	0.0021653878	0.0027660626	0.008429852	-0.0011582058	-0.0003504522	-4.1478e-06
130515_C2_stim_CD19-_57	0.0079200623	-0.0102836469	-0.0039321404	0.0011149417	0.0041840613	-0.0068585314	0.0064647169	0.0039883807	0.0017598291	0.0007510217
130515_C2_stim_CD19-_58	0.0079200623	0.0050624989	0.002749655	-0.0110562055	0.0107175144	-0.0013018539	-0.0171498325	0.0091161666	0.0037763907	7.05661e-05
130515_C2_stim_CD19-_59	0.0079200623	0.0053867606	0.0025152914	-0.0081729288	0.0082773093	-0.0006750408	-0.0111004813	0.0061552682	0.0025235473	4.85973e-05
130515_C2_stim_CD19-_60	0.0079200623	0.0075189409	0.0025063079	0.0003040881	0.0011492937	0.0023347947	0.0073352996	-0.0007743802	-0.00017837	1.90344e-05
130515_C2_stim_CD19-_61	0.0079200623	-0.0091500089	-0.000787562	0.0017872381	0.0058793836	-0.0129692548	0.0041454727	-0.0002430177	-0.000301952	0.0003072035
130515_C2_stim_CD19-_62	0.0079200623	0.0053345873	-0.0033314918	0.0124730948	-0.0134563038	-0.0044555003	-0.0098696058	0.003658239	0.0016791589	0.0001509684
130515_C2_stim_CD19-_63	0.0079200623	0.0076355672	0.0028415161	-0.0004229361	0.0019950955	0.0027264866	0.0083564176	-0.0011244028	-0.0003303109	3.8048e-06
130515_C2_stim_CD19-_64	0.0079200623	-0.0104885749	0.0003716635	0.0029324415	0.0048657818	-0.0105577235	0.0047640768	0.0019195881	0.0005040099	0.000382347
130515_C2_stim_CD19-_65	0.0079200623	0.0053798667	-0.0034518975	0.0131690586	-0.0141972827	-0.0047836787	-0.0106283685	0.0041486037	0.0019116701	0.0001882546
130515_C2_stim_CD19-_66	0.0079200623	0.0052317476	0.002808642	-0.0109485203	0.0106933732	-0.0012292933	-0.0167544947	0.0092317092	0.0038420816	9.14844e-05
130515_C2_stim_CD19-_67	0.0079200623	-0.0033043672	-0.0049282071	-0.0037710367	0.0008201411	-0.0047042144	-0.0102302861	-0.0286219709	-0.0144528432	-0.0037230559
130515_C2_stim_CD19-_68	0.0079200623	0.0052787358	-0.0034936399	0.012930518	-0.0139649138	-0.0046918348	-0.0104529453	0.0039883876	0.0018303137	0.0001758196
130515_C2_stim_CD19-_69	0.0079200623	0.0064436929	0.0028665145	-0.0058488203	0.0065182007	0.0007396436	-0.0044069085	0.0042152537	0.0018242941	3.45866e-05
130515_C2_stim_CD19-_70	0.0079200623	0.0050481892	0.0029184251	-0.0115134809	0.0111069349	-0.0013709606	-0.0181215712	0.0099892795	0.0041612309	0.0001301407
130515_C2_stim_CD19-_71	0.0079200623	-0.003068172	-0.0058998099	-0.0047438547	0.0003626607	-0.0024699447	-0.0105052453	-0.0294884471	-0.0144459422	-0.0038394639
130515_C2_stim_CD19-_72	0.0079200623	0.0074786768	0.0023324422	0.000843938	0.0005780234	0.0021376128	0.007087871	-0.0008086112	-0.0001951206	8.3045e-06
130515_C2_stim_CD19-_73	0.0079200623	0.0053284747	0.0028256504	-0.0107832826	0.0105664691	-0.0011279717	-0.0162774822	0.0089866642	0.0037395084	9.28677e-05
130515_C2_stim_CD19-_74	0.0079200623	0.0075318505	0.0026584062	-0.0001880738	0.0016746948	0.0024198037	0.007264627	-0.0006611065	-0.0001320365	1.25238e-05
130515_C2_stim_CD19-_75	0.0079200623	0.0050754871	0.0028059147	-0.0114086437	0.010999873	-0.0014350932	-0.0178333817	0.0095447691	0.0039582607	0.0001120465
130515_C2_stim_CD19-_76	0.0079200623	-0.0063388124	-0.0217152819	-0.0064871784	-0.0032702814	0.01578826	0.0015758656	0.0026151013	0.0015369424	-7.66604e-05
130515_C2_stim_CD19-_77	0.0079200623	0.0015854625	-0.0001288365	-0.0078414113	0.0074100112	-0.0039623886	-0.014285347	-0.0007681355	-0.0010720337	-0.0006650857
130515_C2_stim_CD19-_78	0.0079200623	0.0071884832	0.0015392763	0.0025222448	-0.0014580177	0.0011601017	0.0045475119	-0.0001086661	0.0001005225	3.62129e-05
130515_C2_stim_CD19-_79	0.0079200623	-0.0082361693	-0.0018341966	0.0012519078	0.0045046048	-0.010754088	0.0012734358	-0.0010384096	-0.0011389651	0.0001098557
130515_C2_stim_CD19-_80	0.0079200623	-0.0100084713	-0.0015571346	0.0027186066	0.0060674822	-0.0141878397	0.0056945455	0.0017423833	0.0003661309	0.0005343484
130515_C2_stim_CD19-_81	0.0079200623	-0.0113947026	0.0013581312	0.0037887152	0.005725781	-0.0117721553	0.0066883931	0.0037811727	0.0015962157	0.0004037144
130515_C2_stim_CD19-_82	0.0079200623	-0.0060608506	-0.0205411641	-0.0058661014	-0.0031482575	0.0141855004	0.0010691636	0.001759518	0.0010632177	-0.000176786
130515_C2_stim_CD19-_83	0.0079200623	-0.0135113795	0.0128996192	0.0034228468	-0.0023741744	0.0099192019	-0.0020437644	0.0015816327	0.0005488946	-0.0008252412
130515_C2_stim_CD19-_84	0.0079200623	0.0075916777	0.002904569	-0.0008305649	0.0023810822	0.0027431389	0.0081435272	-0.0011201165	-0.0003440726	1.3981e-06
130515_C2_stim_CD19-_85	0.0079200623	-0.0123656089	0.0062848905	0.0040257778	0.0031165251	-0.003410621	0.003369543	0.0024901346	0.0015364437	-0.0007008087
130515_C2_stim_CD19-_86	0.0079200623	0.0057322071	-0.0019313299	0.0091512866	-0.0094628264	-0.0026236217	-0.0050123083	0.0024007556	0.0011413012	0.0001179538
130515_C2_stim_CD19-_87	0.0079200623	-0.0060862565	-0.0211769261	-0.0062183145	-0.0033125472	0.0150809159	0.0009307468	0.0018967623	0.0011336463	-0.000202099
130515_C2_stim_CD19-_88	0.0079200623	0.0053028286	0.0026182786	-0.0087702942	0.0086672608	-0.0007959308	-0.0123989979	0.0068662301	0.0028433785	6.30076e-05
130515_C2_stim_CD19-_89	0.0079200623	-0.0064094329	-0.0208822728	-0.0061445973	-0.0029086934	0.0146575714	0.0017347358	0.0025432276	0.0014775678	-5.9606e-05
130515_C2_stim_CD19-_90	0.0079200623	0.0054750359	-0.0035072444	0.0138111254	-0.0148883031	-0.0050400863	-0.0112025436	0.0044293881	0.0020550021	0.0002074001
130515_C2_stim_CD19-_91	0.0079200623	0.0075787811	0.0028675754	-0.0007037926	0.0022516385	0.0027060871	0.0080636132	-0.0010579902	-0.0003137844	4.9169e-06
130515_C2_stim_CD19-_92	0.0079200623	-0.0117523493	0.0033799082	0.0038721847	0.0042953816	-0.0075776735	0.0049849845	0.0033503758	0.0013599152	3.41869e-05
130515_C2_stim_CD19-_93	0.0079200623	0.0075460236	0.0028101758	-0.0005886747	0.0021296027	0.0026360747	0.0079821061	-0.0010716692	-0.0003239999	-1.18986e-05
130515_C2_stim_CD19-_94	0.0079200623	-0.0028145233	-0.0056427786	-0.0050116038	0.0013779806	-0.0039520001	-0.0118685041	-0.0262033236	-0.0132296945	-0.0035144315
130515_C2_stim_CD19-_95	0.0079200623	-0.0113829931	0.0016826452	0.003629832	0.0055158252	-0.0110411334	0.0062947376	0.0035448941	0.0016078141	0.0003339465
130515_C2_stim_CD19-_96	0.0079200623	0.0054502945	-0.0031151872	0.0123633281	-0.013248806	-0.0043556581	-0.0094157521	0.0036455393	0.0016880529	0.0001644934
130515_C2_stim_CD19-_97	0.0079200623	0.0071821685	0.0028935085	-0.0025309864	0.0037147964	0.0022068427	0.0044178191	4.9825e-06	9.17575e-05	3.9505e-06
130515_C2_stim_CD19-_98	0.0079200623	-0.0111381828	0.001267019	0.0034697611	0.005183235	-0.0104794051	0.0059282134	0.0033396761	0.0013439408	0.0003648219
130515_C2_stim_CD19-_99	0.0079200623	0.0054235374	0.0007209312	0.0003184426	-0.0003387878	0.0001772757	0.0027873943	-0.0044114537	-0.0021562411	-0.0001421325
130515_C2_stim_CD19-_100	0.0079200623	0.0017822915	-2.40489e-05	-0.0076414555	0.0069996673	-0.0033898686	-0.0133084434	-0.0007084209	-0.0010072778	-0.0006381852
130515_C2_stim_CD19-_101	0.0079200623	-0.0144994038	0.0175543028	0.0043181597	-0.004607865	0.018424958	-0.0055521118	0.000458289	9.83153e-05	-0.0023063245
130515_C2_stim_CD19-_102	0.0079200623	0.0071544986	0.0025352178	-0.0005345339	0.0019234797	0.0021273566	0.0062725106	-0.0005625254	-0.0001289555	1.88034e-05
130515_C2_stim_CD19-_103	0.0079200623	0.0058377183	-0.00231739	0.010942767	-0.0115091015	-0.0034755738	-0.0072021953	0.0031664667	0.0015002984	0.0001622013
130515_C2_stim_CD19-_104	0.0079200623	0.0042062428	-0.0031589865	0.0093757029	-0.0102146498	-0.0041006417	-0.0077865902	0.0001059997	-0.0001022838	-0.0001401372
130515_C2_stim_CD19-_105	0.0079200623	-0.008678598	-0.0017581649	0.0013591063	0.0046150642	-0.010942286	0.0019294184	-0.0009719657	-0.0011229473	0.0002050136
130515_C2_stim_CD19-_106	0.0079200623	0.0054960149	-0.0029721885	0.0119346912	-0.0127471653	-0.0041343645	-0.0089312125	0.0035651107	0.001651035	0.0001635919
130515_C2_stim_CD19-_107	0.0079200623	0.0075019523	0.0026374856	-0.0001102102	0.0015896896	0.0024417076	0.00767648	-0.0010777078	-0.0003290313	-2.04859e-05
130515_C2_stim_CD19-_108	0.0079200623	-0.013538649	0.0108743158	0.0047923077	0.0002436216	0.0054286009	0.0003069071	0.0029565122	0.0011807302	-0.0013220099
130515_C2_stim_CD19-_109	0.0079200623	-0.0134700216	0.0144815225	0.0031188055	-0.0034506567	0.0133889447	-0.0042299602	0.0001295623	-0.0003092312	0.0005326535
130515_C2_stim_CD19-_110	0.0079200623	-0.0043680543	-0.0036894479	-0.0034659135	0.0025646525	-0.007114919	-0.0078233082	-0.0137063457	-0.0076356599	-0.001134965
130515_C2_stim_CD19-_111	0.0079200623	0.0054061551	0.0011760256	-0.0003925509	0.0005275105	-4.26138e-05	0.0031601963	-0.0066000319	-0.0032566018	-9.58333e-05
130515_C2_stim_CD19-_112	0.0079200623	-0.0089295418	-0.0024715547	0.0019477084	0.0049021944	-0.0119513708	0.0035561569	2.09578e-05	-0.0005092674	0.0002338755
130515_C2_stim_CD19-_113	0.0079200623	0.0075049512	0.0027804756	-0.0006395535	0.0021327223	0.0025508437	0.0076440303	-0.0010390576	-0.0003163549	-5.13061e-05
130515_C2_stim_CD19-_114	0.0079200623	0.0045419879	0.001979738	-0.0085741452	0.0082379701	-0.001398518	-0.013246052	0.0044492449	0.0016516578	-0.0002230208
130515_C2_stim_CD19-_115	0.0079200623	0.0059380573	0.001817476	-0.0016590859	0.0017485325	0.0008273776	0.003171812	-0.0046489102	-0.0022706183	7.5238e-05
130515_C2_stim_CD19-_116	0.0079200623	0.0073703448	0.0025926963	-0.0003751803	0.0017952611	0.0023487937	0.0072546183	-0.0012629858	-0.0004415533	-2.37874e-05
130515_C2_stim_CD19-_117	0.0079200623	-0.0049402958	-0.0063598086	-8.2005e-05	0.001344682	-0.007174416	-0.0043813573	-0.0034078586	-0.0026119278	-0.0002728715
130515_C2_stim_CD19-_118	0.0079200623	-0.0063337032	-0.0213770602	-0.0063133592	-0.0031582967	0.015343288	0.0016498626	0.0025146483	0.0014886287	-9.67182e-05
130515_C2_stim_CD19-_119	0.0079200623	-0.0101926578	-0.0046405921	0.00152505	0.0053972524	-0.0103184299	0.0075921998	0.0045911936	0.0019319529	0.0010225964
130515_C2_stim_CD19-_120	0.0079200623	0.0048769807	-0.0035241921	0.0130559098	-0.0143462717	-0.0047690058	-0.0112632849	0.0034303981	0.0015515319	0.0001515938
130515_C2_stim_CD19-_121	0.0079200623	0.0073385529	0.0028848735	-0.0006591958	0.0020954153	0.0026539704	0.0075681118	-0.0010705944	-0.0003338193	-4.2966e-06
130515_C2_stim_CD19-_122	0.0079200623	0.0023460557	-0.001246643	0.000500076	-0.0011815723	-0.0023821343	-0.0023804027	-0.0084948222	-0.0042068035	-0.0007373079
130515_C2_stim_CD19-_123	0.0079200623	0.0075035563	0.002714101	-0.0003961872	0.0019073328	0.0025085153	0.0076084666	-0.0009685258	-0.0002798456	-3.947e-06
130515_C2_stim_CD19-_124	0.0079200623	0.0062846252	0.0016372487	0.0012941648	-4.97613e-05	0.0008729915	0.0040067404	-2.69158e-05	6.92393e-05	3.0037e-05
130515_C2_stim_CD19-_125	0.0079200623	0.0071257422	0.0011535071	0.0036233957	-0.0026917335	0.0006519184	0.0032649159	0.0004676807	0.0003699944	7.65518e-05
130515_C2_stim_CD19-_126	0.0079200623	0.004936241	0.0027990157	-0.0113140403	0.0107151047	-0.0014844918	-0.0173404652	0.0091735704	0.0037908054	9.7311e-05
130515_C2_stim_CD19-_127	0.0079200623	-0.0032423032	-0.0006922338	-0.0060025941	0.0023741045	-0.0032011016	-0.0131289942	-0.0325821049	-0.0144815837	-0.0043179809
130515_C2_stim_CD19-_128	0.0079200623	-0.0066838017	-0.0218114543	-0.0066517297	-0.0029694253	0.0157718671	0.0021036847	0.0028300916	0.0016572381	-2.71308e-05
130515_C2_stim_CD19-_129	0.0079200623	0.0073942221	0.0021589784	0.0011004097	0.0002223188	0.0018763944	0.0061383089	-0.0003875694	-9.8726e-06	3.23242e-05
130515_C2_stim_CD19-_130	0.0079200623	-0.0025911845	-0.0022194776	-0.0044184163	0.0011046094	-0.0041556534	-0.0082781355	-0.0218957916	-0.0107835659	-0.0013451345
130515_C2_stim_CD19-_131	0.0079200623	-0.0060610983	-0.0214375092	-0.006053954	-0.0036332034	0.0154546668	0.0011420784	0.0023261594	0.0013831356	-0.0001538549
130515_C2_stim_CD19-_132	0.0079200623	0.0039591123	0.0009338235	-0.0008045314	0.0005721648	-0.0009037303	0.0015062928	-0.0072890521	-0.0035379631	-1.98401e-05
130515_C2_stim_CD19-_133	0.0079200623	-0.0064378563	-0.0221358696	-0.0065421658	-0.0033927645	0.0162436658	0.0017838861	0.0029064582	0.0017030812	-8.84153e-05
130515_C2_stim_CD19-_134	0.0079200623	0.0058046538	0.0011810711	0.0002883694	-2.97705e-05	0.0005408098	0.0037878871	-0.0049791344	-0.0024174392	-4.40231e-05
130515_C2_stim_CD19-_135	0.0079200623	-0.0134219692	0.0142064378	0.003438279	-0.0031627952	0.0130744048	-0.0040704698	-0.0001176555	-0.0003874266	-0.0005402427
130515_C2_stim_CD19-_136	0.0079200623	0.0051919064	0.0028296982	-0.0110933549	0.0108231955	-0.0012888787	-0.0169502448	0.0091852166	0.0038214975	8.34886e-05
130515_C2_stim_CD19-_137	0.0079200623	0.0051912202	-0.0034420353	0.0122688519	-0.0132416643	-0.0043897184	-0.0096647544	0.0036376436	0.0016570445	0.0001539498
130515_C2_stim_CD19-_138	0.0079200623	0.0075989649	0.0029169971	-0.0007915323	0.0022990262	0.0027478143	0.0082062454	-0.0010272995	-0.0002966467	4.7474e-05
130515_C2_stim_CD19-_139	0.0079200623	-0.0060850189	-0.02152974	-0.0061525407	-0.0035545386	0.0156768797	0.0014193775	0.0026919921	0.001594281	-9.14967e-05
130515_C2_stim_CD19-_140	0.0079200623	0.0044630641	-0.0043690192	0.0121646159	-0.0134950484	-0.0044596209	-0.0104414589	0.0030123908	0.0013026094	4.74549e-05
130515_C2_stim_CD19-_141	0.0079200623	-0.0059302559	-0.0199500008	-0.0054311594	-0.0032846904	0.0133645527	0.0006114734	0.0011313014	0.0007111414	-0.000246923
130515_C2_stim_CD19-_142	0.0079200623	-0.0039046103	-0.0027780797	-0.0021697692	0.0047246691	-0.0080315146	-0.0052414627	-0.001188673	-0.0014465675	-0.000170779
130515_C2_stim_CD19-_143	0.0079200623	-0.0135615711	0.0129244124	0.0040388849	-0.0018149587	0.0097892694	-0.0019741711	0.001465672	0.0004792913	-0.0008017803
130515_C2_stim_CD19-_144	0.0079200623	0.0051176876	0.0028563408	-0.011420929	0.0108439048	-0.0013599379	-0.0174330347	0.0091867373	0.0038062112	0.0002461505
130515_C2_stim_CD19-_145	0.0079200623	-0.0029760512	-0.006882465	-0.0002072158	-5.81659e-05	-0.0059904333	-0.0078099837	-0.0033845881	-0.0027573917	-0.0004285404
