	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_47	-0.0079200623	0.0033789696	-0.0048146586	0.0015012456	0.0020902055	0.0069906517	-0.0064532107	0.0061426673	-0.0040062038	-0.0005219229
130515_C2_stim_CD19-_48	-0.0079200623	0.0139109754	0.0138276268	-0.0044322605	-0.0021011758	-0.0115715355	-0.0024568939	-0.0017462229	0.000640243	-0.0014714524
130515_C2_stim_CD19-_49	-0.0079200623	-0.0056297678	-0.0027317373	-0.0115913508	-0.012315169	0.003873514	-0.0082331356	-0.0033797503	0.0015810162	0.0001456628
130515_C2_stim_CD19-_50	-0.0079200623	-0.0076183043	0.00284263	0.0005027764	0.0020687458	-0.0027123406	0.0082628498	0.0010827188	-0.00031652	-9.1182e-06
130515_C2_stim_CD19-_51	-0.0079200623	0.0097211407	-0.001553899	-0.0025618921	0.0051827885	0.0121907838	0.0046678937	-0.0012814175	0.000115904	0.000355615
130515_C2_stim_CD19-_52	-0.0079200623	0.0076139251	-0.0164188784	0.0048161148	-2.05521e-05	-0.0083685154	0.0039756548	-0.0035137289	0.0018825316	0.0003881351
130515_C2_stim_CD19-_53	-0.0079200623	0.0065515185	-0.0225942569	0.0069359425	-0.003351958	-0.0169968699	0.0020000674	-0.0029410934	0.0017519777	-8.40183e-05
130515_C2_stim_CD19-_54	-0.0079200623	-0.0074891058	0.0026973202	0.0003452088	0.0018437648	-0.0025134954	0.0077841525	0.0011680131	-0.0003729546	-1.08769e-05
130515_C2_stim_CD19-_55	-0.0079200623	0.014729241	0.0176641134	-0.0048789502	-0.0042392197	-0.0184358423	-0.0052835892	-0.0010410089	0.0003789835	-0.0026964374
130515_C2_stim_CD19-_56	-0.0079200623	-0.0076188958	0.0028757769	0.0005752016	0.0021654001	-0.0027660599	0.0084298043	0.0011606993	-0.0003515549	-2.0361e-06
130515_C2_stim_CD19-_57	-0.0079200623	0.0102836469	-0.0039321404	-0.0011149423	0.0041840749	0.0068585374	0.0064645805	-0.0039866001	0.0017610215	0.0006989853
130515_C2_stim_CD19-_58	-0.0079200623	-0.0050624989	0.002749655	0.0110562061	0.0107175076	0.0013018522	-0.0171497914	-0.0091163895	0.0037757627	6.50738e-05
130515_C2_stim_CD19-_59	-0.0079200623	-0.0053867606	0.0025152914	0.0081729286	0.0082773121	0.0006750411	-0.0111004747	-0.0061547826	0.0025229131	4.53817e-05
130515_C2_stim_CD19-_60	-0.0079200623	-0.0075189409	0.0025063079	-0.0003040898	0.0011493151	-0.0023347901	0.0073352229	0.000778166	-0.0001799937	1.9248e-05
130515_C2_stim_CD19-_61	-0.0079200623	0.0091500089	-0.000787562	-0.0017872401	0.0058794091	0.0129692609	0.0041453718	0.0002492358	-0.0003046994	0.0002958029
130515_C2_stim_CD19-_62	-0.0079200623	-0.0053345873	-0.0033314918	-0.0124730955	-0.0134562947	0.0044555034	-0.0098696579	-0.0036561254	0.0016784842	0.0001356242
130515_C2_stim_CD19-_63	-0.0079200623	-0.0076355672	0.0028415161	0.0004229337	0.0019951271	-0.0027264797	0.0083563033	0.0011295217	-0.0003323584	2.7007e-06
130515_C2_stim_CD19-_64	-0.0079200623	0.0104885749	0.0003716635	-0.0029324413	0.0048657775	0.0105577217	0.004764116	-0.0019181623	0.0005023544	0.000390319
130515_C2_stim_CD19-_65	-0.0079200623	-0.0053798667	-0.0034518975	-0.0131690617	-0.0141972423	0.0047836887	-0.0106285293	-0.0041418683	0.0019092235	0.0001675735
130515_C2_stim_CD19-_66	-0.0079200623	-0.0052317476	0.002808642	0.0109485206	0.0106933703	0.0012292926	-0.0167544739	-0.0092313942	0.003841345	8.42549e-05
130515_C2_stim_CD19-_67	-0.0079200623	0.0033043672	-0.0049282072	0.0037710553	0.0008198965	0.0047041553	-0.0102292769	0.0285715388	-0.0144315828	-0.0035911523
130515_C2_stim_CD19-_68	-0.0079200623	-0.0052787358	-0.0034936399	-0.0129305194	-0.0139648957	0.0046918395	-0.0104530187	-0.0039845806	0.0018287172	0.0001615859
130515_C2_stim_CD19-_69	-0.0079200623	-0.0064436929	0.0028665145	0.0058488201	0.0065182023	-0.0007396436	-0.0044069016	-0.0042141578	0.0018232957	3.44284e-05
130515_C2_stim_CD19-_70	-0.0079200623	-0.0050481892	0.0029184251	0.0115134799	0.0111069485	0.0013709638	-0.0181216137	-0.0099867871	0.0041598116	0.000117932
130515_C2_stim_CD19-_71	-0.0079200623	0.003068172	-0.0058998099	0.0047438694	0.0003624689	0.002469899	-0.0105044715	0.0294464554	-0.01442699	-0.003735304
130515_C2_stim_CD19-_72	-0.0079200623	-0.0074786768	0.0023324422	-0.0008439384	0.0005780273	-0.0021376121	0.0070878544	0.0008099956	-0.0001958595	1.10788e-05
130515_C2_stim_CD19-_73	-0.0079200623	-0.0053284747	0.0028256504	0.0107832811	0.010566488	0.0011279755	-0.016277528	-0.0089835272	0.0037376698	8.39815e-05
130515_C2_stim_CD19-_74	-0.0079200623	-0.0075318505	0.0026584062	0.0001880722	0.0016747144	-0.0024197997	0.0072645602	0.0006647656	-0.0001337136	1.41479e-05
130515_C2_stim_CD19-_75	-0.0079200623	-0.0050754871	0.0028059147	0.0114086434	0.0109998786	0.0014350946	-0.0178333949	-0.0095432483	0.0039571612	0.0001011154
130515_C2_stim_CD19-_76	-0.0079200623	0.0063388124	-0.0217152819	0.0064871772	-0.0032702673	-0.0157882583	0.0015758496	-0.0026120746	0.0015346669	-6.59873e-05
130515_C2_stim_CD19-_77	-0.0079200623	-0.0015854625	-0.0001288365	0.0078414088	0.007410043	0.0039623955	-0.0142854413	0.0007714729	-0.0010731857	-0.0006523022
130515_C2_stim_CD19-_78	-0.0079200623	-0.0071884832	0.0015392763	-0.0025222449	-0.001458018	-0.001160102	0.0045475178	0.0001095054	9.98525e-05	3.90943e-05
130515_C2_stim_CD19-_79	-0.0079200623	0.0082361693	-0.0018341966	-0.0012519093	0.0045046239	0.0107540922	0.0012733785	0.0010421131	-0.0011409391	0.0001237483
